0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
1,2
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
10,41
10,136
10,137
10,138
10,139
10,140
10,141
10,142
10,143
10,144
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
14,199
14,756
14,1116
14,2537
14,2787
14,3307
14,4524
14,4674
14,6016
14,7040
17,79
17,80
17,81
17,82
17,83
17,84
17,85
17,86
17,87
17,88
19,69
19,70
19,71
19,72
19,73
19,74
19,75
19,76
19,77
19,78
20,50
20,51
20,52
20,53
20,54
20,55
20,56
20,57
20,58
20,59
